Designator,Mid X,Mid Y,Rotation,Layer
C1,85.9282,-76.4794,90.0,top
C10,88.3898,-80.271,270.0,top
C11,127.6858,-61.1896,90.0,top
C12,133.1468,-54.2808,0.0,top
C13,102.6414,-55.2606,0.0,top
C14,96.9772,-62.0268,90.0,top
C15,113.3856,-89.3572,90.0,top
C16,97.6884,-100.6856,270.0,top
C17,129.6924,-91.3638,90.0,top
C18,129.6924,-99.8474,270.0,top
C19,146.431,-68.8848,180.0,top
C2,99.9998,-68.8594,0.0,top
C20,139.0904,-68.8848,0.0,top
C21,131.9784,-68.8848,180.0,top
C22,130.7592,-73.3298,0.0,top
C23,131.9022,-81.4832,180.0,top
C24,146.0754,-86.9442,180.0,top
C3,99.9998,-67.2846,0.0,top
C4,88.8238,-64.9478,0.0,top
C5,103.9368,-93.2434,90.0,top
C6,101.2444,-97.1674,90.0,top
C7,99.3648,-93.7006,0.0,top
C8,97.8386,-80.3726,270.0,top
C9,95.9336,-80.3472,270.0,top
D1,89.9668,-87.4268,180.0,top
D10,112.4966,-55.286,180.0,top
D11,99.441,-56.4798,90.0,top
D12,99.3648,-61.4074,270.0,top
D13,113.3856,-93.599,90.0,top
D14,113.3348,-98.7806,270.0,top
D15,104.7242,-100.1014,270.0,top
D16,118.3894,-91.567,270.0,top
D17,121.1072,-91.6432,90.0,top
D18,126.2126,-91.567,270.0,top
D19,123.6218,-91.5924,90.0,top
D2,89.9668,-85.0392,180.0,top
D20,146.0754,-98.9838,270.0,top
D21,135.5852,-98.9838,270.0,top
D22,129.7178,-95.5802,270.0,top
D23,132.0038,-77.7494,0.0,top
D24,89.9668,-89.7636,180.0,top
D3,130.0226,-60.5292,270.0,top
D4,140.3096,-56.5922,90.0,top
D5,130.0226,-55.5762,90.0,top
D6,125.2982,-63.7794,90.0,top
D7,122.7328,-63.7804,270.0,top
D8,117.5766,-63.754,90.0,top
D9,120.142,-63.755,270.0,top
FB1,98.3234,-96.901,270.0,top
J1,80.3148,-72.3646,180.0,top
J2,88.2042,-55.7022,90.0,top
J3,80.2894,-84.0332,180.0,top
J4,80.2894,-94.4014,180.0,top
J5,77.1488,-61.5132,270.0,top
J6,88.1788,-100.3554,90.0,top
J7,121.3358,-57.0738,180.0,top
J8,122.0978,-98.9584,0.0,top
J9,143.383,-78.359,90.0,top
Q1,132.207,-60.7412,180.0,bottom
Q2,142.9512,-60.7666,180.0,bottom
Q3,110.6678,-60.7822,180.0,bottom
Q4,99.949,-60.7822,180.0,bottom
Q5,101.2698,-94.9608,0.0,bottom
Q6,112.014,-94.9608,0.0,bottom
Q7,142.8242,-95.1288,0.0,bottom
Q8,132.08,-95.1894,0.0,bottom
Q9,127.549,-78.105,270.0,bottom
R1,95.1992,-100.3573,270.0,top
R10,97.1042,-55.8448,90.0,top
R11,115.5446,-99.441,270.0,top
R12,100.5332,-99.9744,180.0,top
R13,148.463,-98.2726,270.0,top
R14,133.3246,-99.6442,270.0,top
R15,130.7846,-75.4888,0.0,top
R16,86.3092,-89.789,180.0,top
R2,85.5237,-65.1764,0.0,top
R3,86.2603,-87.4268,0.0,top
R4,86.2311,-85.0646,0.0,top
R5,83.9978,-94.5642,0.0,top
R6,84.0486,-97.1296,0.0,top
R7,142.7226,-56.8989,90.0,top
R8,127.7874,-54.8904,90.0,top
R9,108.0516,-55.118,0.0,top
SW1,100.8888,-87.2236,90.0,top
SW2,91.5924,-95.6996,180.0,top
U1,92.837,-72.1614,0.0,top
U10,139.0142,-90.3224,270.0,top
U2,110.744,-68.0974,270.0,top
U3,110.7044,-78.9178,90.0,top
U4,135.9408,-59.2084,0.0,top
U5,103.505,-61.0264,0.0,top
U6,108.9914,-97.474,180.0,top
U7,140.8938,-99.2632,270.0,top
U8,122.2902,-71.0438,180.0,top
U9,121.8076,-83.82,180.0,top
Y1,92.2506,-81.1092,180.0,top
